session_id,date,route,province,time_of_day,weather,start_time,end_time,duration_minutes,file_path,resolution,fps,format,operator,notes
DASH-REF-001,2022-01-01,Phnom Penh city tour dashcam,Phnom Penh,mixed,clear,00:00,00:00,0,Reference/Cambodia Traffic.v1i.yolov11,640x640,30,frame_export,bootstrap,Frames extracted from Cambodia city tour dashcam footage (Roboflow export)
DASH-REF-002,2022-01-01,Phnom Penh capital city dashcam,Phnom Penh,mixed,clear,00:00,00:00,0,Reference/Cambodia Traffic.v1i.yolov11,640x640,30,frame_export,bootstrap,Frames extracted from Cambodia capital city dashcam footage (Roboflow export)
