batch_id,mode,files,exported_at,export_path
BATCH-REF-VEH-PLATE-001,plates_auto_bbox,100,2026-07-11T20:25:18.399001+00:00,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\annotations\exports\BATCH-REF-VEH-PLATE-001
BATCH-SIGNS-DATASET10,yolo_copy,123,2026-07-11T20:25:18.756009+00:00,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\annotations\exports\BATCH-SIGNS-DATASET10
BATCH-VEHICLES-PENDING,cvat_pending,44,2026-07-11T20:25:21.585020+00:00,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\annotations\cvat_tasks\BATCH-VEHICLES-PENDING
BATCH-VEHICLES-PENDING,cvat_pending,44,2026-07-11T20:27:43.326815+00:00,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\annotations\cvat_tasks\BATCH-VEHICLES-PENDING
BATCH-ROBO-VEH-001,roboflow_labeled_vehicles,196,2026-07-11T20:41:15.632743+00:00,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\annotations\exports\BATCH-ROBO-VEH-001
BATCH-ROBO-PLATE-001,roboflow_labeled_plates,453,2026-07-11T20:41:16.647365+00:00,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\annotations\exports\BATCH-ROBO-PLATE-001
BATCH-VEHICLES-PENDING,cvat_pending,218,2026-07-12T21:21:36.613791+00:00,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\annotations\cvat_tasks\BATCH-VEHICLES-PENDING
