epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.577,1.4178,3.59321,1.22319,0.05018,0.43294,0.11796,0.06058,1.15233,4.3392,1.08611,0.000328431,0.000328431,0.0674853
2,275.125,1.42031,2.5811,1.21005,0.70562,0.24097,0.1458,0.07822,1.13492,3.07258,1.15842,0.000599204,0.000599204,0.0344227
3,417.514,1.35141,2.24195,1.1588,0.32937,0.42545,0.3638,0.26596,1.0418,2.90837,1.12688,0.000654738,0.000654738,0.00114493
4,571.252,1.18992,1.9374,1.11509,0.26285,0.59165,0.40669,0.30659,0.8934,1.83966,1.02928,0.000352037,0.000352037,0.000352037
5,727.071,1.18471,1.86041,1.09646,0.28886,0.66731,0.4132,0.31581,0.9223,1.60626,1.01042,0.000104537,0.000104537,0.000104537
