epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9299,0.43116,3.75655,1.09782,0.04471,0.88889,0.19718,0.17511,0.1245,4.20305,0.76884,0.0001785,0.0001785,0.0001785
2,46.8513,0.35418,3.48713,1.01013,0.03599,1,0.30807,0.29862,0.17822,4.15065,0.79158,0.00029204,0.00029204,0.00029204
3,69.4857,0.39959,3.40548,0.99538,0.01856,1,0.40233,0.40181,0.18727,4.01903,0.77905,0.000332067,0.000332067,0.000332067
4,92.6807,0.36872,3.31068,0.99897,0.66873,0.14815,0.52643,0.52475,0.208,3.70845,0.79248,0.000289884,0.000289884,0.000289884
5,115.914,0.37997,3.20729,1.01256,0.69887,0.2963,0.60698,0.60698,0.181,3.57212,0.77788,0.000148512,0.000148512,0.000148512
