                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.26428,                 1.0409,                0.90041,                0.96599,                0.93216,                  0.995,                0.99134,                0.16634,                 1.1709,                0.77055,              0.0004666,              0.0004666,              0.0004666
                     37,                0.26176,                0.99674,                0.93929,                0.96854,                 0.9321,                  0.995,                0.99134,                0.16266,                 1.1374,                 0.7716,             0.00045953,             0.00045953,             0.00045953
                     38,                0.25738,                0.99184,                0.89321,                0.94431,                 0.9672,                  0.995,                  0.995,                0.17038,                 1.0912,                0.76432,             0.00045246,             0.00045246,             0.00045246
                     39,                0.23176,                 1.0556,                0.91508,                0.92745,                0.96494,                  0.995,                  0.995,                0.16859,                 1.0692,                0.76856,             0.00044539,             0.00044539,             0.00044539
                     40,                0.21905,                0.97127,                0.90449,                0.97281,                      1,                  0.995,                0.99012,                 0.1562,                 1.0273,                0.76847,             0.00043832,             0.00043832,             0.00043832
                     41,                0.25007,                0.95061,                0.89492,                0.97048,                      1,                  0.995,                0.99012,                0.17089,                 1.0231,                0.77204,             0.00043126,             0.00043126,             0.00043126
                     42,                0.23186,                0.89086,                0.88728,                0.96087,                      1,                  0.995,                0.99134,                0.16029,                 1.0196,                0.76416,             0.00042419,             0.00042419,             0.00042419
                     43,                0.22588,                0.94708,                0.89674,                0.96543,                      1,                  0.995,                  0.995,                0.14062,                0.96368,                 0.7574,             0.00041712,             0.00041712,             0.00041712
                     44,                 0.2536,                0.94926,                0.91992,                0.97325,                      1,                  0.995,                  0.995,                0.13572,                0.94495,                0.75476,             0.00041005,             0.00041005,             0.00041005
                     45,                0.23096,                 1.0039,                0.88862,                 0.9636,                      1,                  0.995,                  0.995,                0.14991,                0.93192,                0.75605,             0.00040298,             0.00040298,             0.00040298
                     46,                0.24862,                 0.9983,                 0.9242,                0.93546,                      1,                  0.995,                  0.995,                0.17391,                  1.023,                0.76225,             0.00039591,             0.00039591,             0.00039591
                     47,                0.22289,                 0.9373,                0.90032,                0.96569,                      1,                  0.995,                  0.995,                0.13716,                 1.0397,                0.75331,             0.00038884,             0.00038884,             0.00038884
                     48,                0.22513,                0.92342,                0.90233,                 0.9714,                      1,                  0.995,                  0.995,                0.12743,                0.90347,                0.75139,             0.00038178,             0.00038178,             0.00038178
                     49,                0.21513,                0.87659,                0.89623,                0.96864,                      1,                  0.995,                  0.995,                0.12939,                0.91312,                 0.7533,             0.00037471,             0.00037471,             0.00037471
                     50,                0.23545,                0.82878,                 0.9011,                0.97705,                      1,                  0.995,                  0.995,                0.13042,                0.91473,                0.75326,             0.00036764,             0.00036764,             0.00036764
                     51,                0.21942,                 0.8228,                0.91206,                0.97648,                      1,                  0.995,                  0.995,                0.12203,                0.90394,                0.75411,             0.00036057,             0.00036057,             0.00036057
                     52,                0.23033,                0.89723,                0.90207,                0.97466,                      1,                  0.995,                  0.995,                0.11746,                0.92168,                0.75217,              0.0003535,              0.0003535,              0.0003535
                     53,                0.21856,                0.86025,                0.91577,                0.97512,                      1,                  0.995,                  0.995,                0.10596,                0.92045,                0.75097,             0.00034643,             0.00034643,             0.00034643
                     54,                0.22522,                0.85912,                0.88747,                0.97609,                      1,                  0.995,                  0.995,                0.11454,                0.88216,                0.75354,             0.00033936,             0.00033936,             0.00033936
                     55,                0.21056,                0.83116,                0.89442,                0.97645,                      1,                  0.995,                  0.995,                0.11289,                0.82758,                0.75003,              0.0003323,              0.0003323,              0.0003323
                     56,                0.22032,                0.86319,                0.89748,                0.97788,                      1,                  0.995,                  0.995,                0.11648,                0.83924,                0.75261,             0.00032523,             0.00032523,             0.00032523
